track_id,title,artist,genre,release_year,duration, album_cover
75,Clocks,Coldplay,Rock,2002,17.3, https://i.discogs.com/cigAK5wha7SWjrsclw6MXuu1-zuK99q_FRhOwFC_gF0/rs:fit/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE4MTUx/NDMtMTM0Mjg4MjEy/Ny01MTcyLmpwZWc.jpeg
76,In the End,Linkin Park,Rock,2001,14.5, https://upload.wikimedia.org/wikipedia/en/3/3f/LinkinParkIntheEnd.jpg
77,Numb,Linkin Park,Rock,2003,12.5, https://cdn-images.dzcdn.net/images/cover/44df4f6fb2534768f4924365c103d0f7/1900x1900-000000-80-0-0.jpg
78,Umbrella,Rihanna ft. Jay-Z,Pop,2007,18.4, https://cdn-images.dzcdn.net/images/cover/91276466fbc876d96be9e6926060af60/1900x1900-000000-80-0-0.jpg
79,Poker Face,Lady Gaga,Pop,2008,15.8, https://cdn-images.dzcdn.net/images/cover/cc24d60a998e1a296f0c22efa8ddffd2/0x1900-000000-80-0-0.jpg
80,Single Ladies (Put a Ring on It),Beyoncé,R&B,2008,12.9, https://i.scdn.co/image/ab67616d0000b273801c4d205accdba0a468a10b
81,Rehab,Amy Winehouse,R&B,2006,14.3, https://i.scdn.co/image/ab67616d0000b2734b6583b0a1505e40779faec6
82,Crazy in Love,Beyoncé ft. Jay-Z,R&B,2003,15.8, https://i.scdn.co/image/ab67616d0000b27345680a4a57c97894490a01c1
83,Halo,Beyoncé,R&B,2008,16.7, https://i.scdn.co/image/ab67616d0000b273801c4d205accdba0a468a10b
84,Use Somebody,Kings of Leon,Rock,2008,15.3, https://i.scdn.co/image/ab67616d0000b2732519d01c0cca06f134eeadd8
85,Sex on Fire,Kings of Leon,Rock,2008,13.5, https://i.scdn.co/image/ab67616d0000b2732519d01c0cca06f134eeadd8
86,I Gotta Feeling,The Black Eyed Peas,Pop,2009,18.9, https://cdn-images.dzcdn.net/images/cover/ee510b61893be970d7f40308a32326a1/1900x1900-000000-80-0-0.jpg
87,Bad Romance,Lady Gaga,Pop,2009,19.7, https://upload.wikimedia.org/wikipedia/en/4/45/The_Fame_Monster.png
88,Fireflies,Owl City,Pop,2009,15.3, https://upload.wikimedia.org/wikipedia/en/7/79/Owl-city-ocean-eyes-2009.jpg
89,Empire State of Mind,Jay-Z ft. Alicia Keys,Hip-Hop,2009,18.6, https://i.scdn.co/image/ab67616d0000b273fec1b815bb3c50a64a90fd10
90,Tik Tok,Ke$ha,Pop,2009,13.3, https://i.scdn.co/image/ab67616d0000b27365836b344b9d983462d5f1a7
91,Somebody That I Used to Know,Gotye ft. Kimbra,Pop,2011,16.4, https://upload.wikimedia.org/wikipedia/en/c/c1/Gotye_featuring_Kimbra_-_Somebody_That_I_Used_to_Know.png
92,Call Me Maybe,Carly Rae Jepsen,Pop,2012,12.8, https://i.scdn.co/image/ab67616d0000b273d3ee4bf67c2ac2154006ad72
93,We Are Young,fun. ft. Janelle Monáe,Pop,2011,16.8, https://cdn-images.dzcdn.net/images/cover/5f7bd91e2d91ce2d308ee754d6821ff7/500x500.jpg
94,Get Lucky,Daft Punk ft. Pharrell Williams,Pop,2013,24.7, https://i.discogs.com/aaf_1a83-JxTZ3vnnYJZuZWAEFWyymiIJp4n8uDUpPo/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ2NzU1/MzYtMTM3MTg5MTEx/My0zMjk1LmpwZWc.jpeg
